pathway.id	pathway.description	genes	GO
path:ota01230	Biosynthesis of amino acids	ostta01g01230,ostta01g01450,ostta01g01500,ostta01g01590,ostta01g01980,ostta01g02480,ostta01g03040,ostta01g05020,ostta01g05260,ostta01g05700,ostta02g00940,ostta02g01690,ostta02g01980,ostta02g02860,ostta02g03640,ostta02g03710,ostta02g03830,ostta02g03980,ostta03g00660,ostta03g00730,ostta03g00830,ostta03g00920,ostta03g01320,ostta03g01410,ostta03g02470,ostta03g02820,ostta03g02830,ostta03g03260,ostta03g03860,ostta03g04670,ostta04g00300,ostta04g00380,ostta04g01100,ostta04g01500,ostta04g04420,ostta04g04750,ostta05g01300,ostta05g01350,ostta05g01360,ostta05g01710,ostta05g01760,ostta05g01820,ostta05g02610,ostta05g02740,ostta05g04130,ostta05g05000,ostta06g00700,ostta06g01650,ostta06g01710,ostta06g01760,ostta06g03270,ostta06g04200,ostta06g04570,ostta07g00060,ostta07g01110,ostta07g02810,ostta07g03890,ostta07g04370,ostta07g04640,ostta08g00980,ostta08g01650,ostta08g02240,ostta08g02470,ostta08g02630,ostta08g02690,ostta08g02920,ostta08g03040,ostta09g00120,ostta09g00970,ostta09g01360,ostta09g02590,ostta09g03600,ostta10g01470,ostta10g02460,ostta10g02570,ostta11g00080,ostta11g00540,ostta11g02320,ostta11g03090,ostta12g01530,ostta12g02610,ostta12g02970,ostta12g03060,ostta13g00100,ostta14g00820,ostta14g01750,ostta14g01830,ostta14g02070,ostta14g02420,ostta14g02470,ostta14g02775,ostta14g02970,ostta14g03050,ostta15g00830,ostta15g00955,ostta15g02810,ostta16g00480,ostta16g00550,ostta16g00560,ostta16g00710,ostta16g02080,ostta16g02560,ostta17g01280,ostta17g01780,ostta17g02090,ostta18g01010,ostta19g00170	GO:0008652
path:ota01232	Nucleotide metabolism	ostta01g00090,ostta01g03600,ostta01g04510,ostta01g05040,ostta01g05920,ostta01g06270,ostta02g00810,ostta02g01850,ostta02g04470,ostta03g05480,ostta04g01140,ostta04g03520,ostta05g00400,ostta05g00550,ostta06g00520,ostta06g01180,ostta07g00250,ostta07g01340,ostta07g03490,ostta07g03730,ostta08g00060,ostta08g00560,ostta09g02100,ostta09g02360,ostta10g03390,ostta11g00870,ostta11g02505,ostta11g03110,ostta12g00480,ostta12g01230,ostta12g01995,ostta15g00150,ostta15g02350,ostta16g01370,ostta16g01780,ostta17g00410,ostta17g02305,ostta17g02320,ostta18g01410	GO:0009117
path:ota01240	Biosynthesis of cofactors	ostta01g00390,ostta01g00590,ostta01g01510,ostta01g01855,ostta01g02220,ostta01g02390,ostta01g03120,ostta01g03600,ostta01g04150,ostta01g04230,ostta01g04250,ostta01g04340,ostta01g05040,ostta01g05850,ostta01g05890,ostta01g05920,ostta01g05930,ostta01g06140,ostta01g06430,ostta02g01190,ostta02g01840,ostta02g02520,ostta02g02710,ostta02g03550,ostta02g04240,ostta02g04440,ostta02g04460,ostta02g04540,ostta02g05140,ostta02g05520,ostta03g00220,ostta03g00920,ostta03g01160,ostta03g02300,ostta03g03160,ostta03g03260,ostta03g03750,ostta03g03950,ostta03g04010,ostta03g04150,ostta03g05480,ostta04g01600,ostta04g02660,ostta04g03030,ostta04g03520,ostta04g03900,ostta04g04750,ostta04g04830,ostta04g04940,ostta05g00090,ostta05g00550,ostta05g01070,ostta05g01230,ostta05g02990,ostta05g04730,ostta06g00040,ostta06g00520,ostta06g01340,ostta06g01430,ostta06g02900,ostta06g03370,ostta06g03510,ostta07g02510,ostta07g03400,ostta07g03730,ostta07g03880,ostta07g04500,ostta07g04670,ostta08g00060,ostta08g00860,ostta08g01610,ostta08g01895,ostta08g02240,ostta08g02510,ostta08g02720,ostta09g01790,ostta09g01930,ostta09g02360,ostta09g02630,ostta09g02690,ostta09g03630,ostta10g00580,ostta10g00770,ostta10g00780,ostta10g02030,ostta11g00690,ostta11g02505,ostta11g02670,ostta11g02820,ostta11g03110,ostta12g00240,ostta12g00900,ostta12g00940,ostta12g01030,ostta12g02460,ostta13g00190,ostta13g01490,ostta13g01570,ostta13g01690,ostta13g02190,ostta14g00340,ostta14g01075,ostta14g01245,ostta14g01610,ostta14g02010,ostta14g02200,ostta14g02350,ostta14g02420,ostta15g00060,ostta15g00120,ostta15g00150,ostta15g00890,ostta15g00955,ostta15g01470,ostta16g00380,ostta16g01150,ostta16g01270,ostta16g01550,ostta16g01780,ostta17g00130,ostta17g00200,ostta17g01160,ostta17g01800,ostta17g02170,ostta17g02360,ostta18g00900,ostta18g00940,ostta18g01060,ostta18g01860,ostta19g00170,ostta20g00080	NA
path:ota01250	Biosynthesis of nucleotide sugars	ostta01g01510,ostta02g00840,ostta02g02840,ostta02g04540,ostta02g05140,ostta03g03950,ostta04g01480,ostta05g04070,ostta05g04620,ostta07g01230,ostta07g03070,ostta07g03440,ostta07g04170,ostta08g01570,ostta09g00100,ostta09g01870,ostta10g03430,ostta11g01410,ostta11g02780,ostta11g03190,ostta12g01630,ostta13g01690,ostta13g02030,ostta14g00540,ostta15g00180,ostta15g02520,ostta16g01390,ostta18g01060,ostta19g00110,ostta19g00610,ostta20g00490,ostta20g00830	GO:0009226
path:ota02010	ABC transporters	ostta01g04600,ostta02g04070,ostta03g00040,ostta04g00610,ostta04g03540,ostta05g04370,ostta07g00120,ostta07g01580,ostta11g01110,ostta13g00830,ostta14g01680,ostta18g01310	GO:0043190
path:ota03008	Ribosome biogenesis in eukaryotes	ostta01g00910,ostta01g02450,ostta01g04120,ostta02g00410,ostta02g00562,ostta02g00640,ostta02g00960,ostta02g01210,ostta02g01330,ostta02g01350,ostta02g02490,ostta02g03490,ostta02g04030,ostta02g05390,ostta03g00690,ostta03g02850,ostta03g05480,ostta04g00770,ostta04g03790,ostta04g04010,ostta05g00690,ostta05g01450,ostta05g03410,ostta06g01480,ostta06g01610,ostta06g01830,ostta06g01930,ostta06g02130,ostta06g03380,ostta06g04000,ostta07g01200,ostta07g03480,ostta07g04040,ostta08g00480,ostta08g00800,ostta08g01400,ostta08g01820,ostta08g02180,ostta08g03090,ostta10g02930,ostta11g00530,ostta12g02110,ostta12g02550,ostta13g00670,ostta13g01170,ostta14g00140,ostta14g00290,ostta14g00620,ostta14g00750,ostta14g01110,ostta15g01300,ostta16g00100,ostta16g00990,ostta17g00250,ostta17g01820,ostta18g01680,ostta20g00730	GO:0042254
path:ota03010	Ribosome	ostta01g00210,ostta01g00485,ostta01g01020,ostta01g02400,ostta01g03150,ostta01g04410,ostta01g05360,ostta01g06000,ostta02g00250,ostta02g00890,ostta02g01010,ostta02g01080,ostta02g02700,ostta02g02800,ostta02g03140,ostta02g03260,ostta02g03900,ostta02g04390,ostta02g04560,ostta02g04650,ostta02g05370,ostta02g05480,ostta03g01020,ostta03g01400,ostta03g01600,ostta03g02770,ostta03g02960,ostta03g03240,ostta03g03300,ostta03g04290,ostta03g04510,ostta03g05410,ostta03g05760,ostta03g05880,ostta04g01270,ostta04g01310,ostta04g01760,ostta04g01860,ostta04g02970,ostta04g04170,ostta04g04230,ostta04g05030,ostta05g00110,ostta05g01130,ostta05g01460,ostta05g03820,ostta05g03870,ostta05g04910,ostta06g01030,ostta06g01150,ostta06g01530,ostta06g01640,ostta06g01800,ostta06g01860,ostta06g03020,ostta06g03332,ostta06g04240,ostta07g00050,ostta07g00170,ostta07g00910,ostta07g01530,ostta07g01760,ostta07g03650,ostta07g03885,ostta07g04180,ostta07g04450,ostta08g00570,ostta08g01395,ostta08g01750,ostta08g01890,ostta08g03240,ostta08g04150,ostta09g02550,ostta09g03150,ostta09g03180,ostta09g04010,ostta10g02015,ostta10g02210,ostta11g00780,ostta11g01350,ostta11g01660,ostta11g02360,ostta11g02380,ostta11g02400,ostta11g02500,ostta12g01010,ostta12g01160,ostta12g01760,ostta12g02450,ostta12g02680,ostta12g02920,ostta12g03100,ostta14g00110,ostta14g00440,ostta14g00880,ostta14g01060,ostta14g01850,ostta14g01950,ostta14g02300,ostta14g02310,ostta14g02770,ostta15g00045,ostta15g00930,ostta15g01160,ostta15g01170,ostta15g01180,ostta15g02010,ostta15g02200,ostta15g02290,ostta15g02870,ostta16g00070,ostta16g00330,ostta16g00405,ostta16g00530,ostta16g00770,ostta16g01410,ostta16g01670,ostta16g01720,ostta16g01730,ostta16g01770,ostta17g00360,ostta17g00820,ostta17g01270,ostta17g01350,ostta17g01870,ostta17g02240,ostta18g00590,ostta18g01460,ostta18g01735,ostta20g00130,ostta20g00300	GO:0005840
path:ota03013	Nucleocytoplasmic transport	ostta01g00990,ostta01g03630,ostta01g05600,ostta01g06160,ostta01g06220,ostta02g00270,ostta02g02920,ostta02g03490,ostta02g04080,ostta03g02540,ostta03g02600,ostta03g04410,ostta04g00910,ostta04g01160,ostta04g01650,ostta04g02860,ostta04g03100,ostta05g02050,ostta05g03510,ostta05g03620,ostta05g04890,ostta06g00240,ostta06g01260,ostta06g01700,ostta06g02880,ostta06g03040,ostta07g01520,ostta07g02820,ostta08g01070,ostta08g01470,ostta09g00510,ostta09g03260,ostta09g03465,ostta10g00020,ostta10g00510,ostta10g02140,ostta11g00130,ostta11g03250,ostta12g03030,ostta12g03150,ostta13g00310,ostta13g00880,ostta13g01170,ostta13g02260,ostta13g02780,ostta14g00410,ostta14g00710,ostta14g00790,ostta14g00960,ostta14g01270,ostta14g01740,ostta14g02210,ostta15g01265,ostta15g02370,ostta16g00990,ostta16g01280,ostta16g02490,ostta18g00960	GO:0006913
path:ota03015	mRNA surveillance pathway	ostta01g02520,ostta01g05280,ostta01g05670,ostta02g02930,ostta02g05080,ostta02g05210,ostta03g00170,ostta04g00510,ostta04g01530,ostta04g01650,ostta04g05410,ostta05g00660,ostta05g01640,ostta05g02300,ostta06g02390,ostta06g02750,ostta06g02880,ostta07g00440,ostta07g01190,ostta07g01520,ostta07g01800,ostta07g01920,ostta07g02820,ostta07g02880,ostta07g03820,ostta07g04350,ostta08g01850,ostta08g03840,ostta09g02250,ostta09g04380,ostta10g03400,ostta11g02730,ostta12g03030,ostta12g03150,ostta13g00310,ostta14g00710,ostta14g00960,ostta14g01270,ostta15g00350,ostta15g01265,ostta15g01630,ostta16g01280,ostta16g02250	GO:0071028
path:ota03018	RNA degradation	ostta01g00100,ostta01g01320,ostta01g01500,ostta01g01670,ostta01g02930,ostta02g00240,ostta02g02750,ostta02g03180,ostta02g04090,ostta03g00780,ostta03g02150,ostta03g02530,ostta03g03740,ostta04g00380,ostta04g01220,ostta04g04040,ostta05g04950,ostta06g00310,ostta06g01490,ostta06g01940,ostta06g03010,ostta06g03380,ostta07g01120,ostta07g02170,ostta07g02310,ostta07g03030,ostta07g03420,ostta07g03820,ostta08g00170,ostta08g02650,ostta08g02680,ostta08g03440,ostta09g00130,ostta09g00310,ostta09g02930,ostta10g00220,ostta10g00300,ostta10g01030,ostta10g02710,ostta10g03435,ostta11g01730,ostta11g02910,ostta11g03200,ostta11g03220,ostta12g01740,ostta12g03120,ostta14g00330,ostta14g01830,ostta15g00450,ostta16g00390,ostta16g01210,ostta16g02010,ostta17g02310,ostta17g02325,ostta18g01620	GO:0006401
path:ota03020	RNA polymerase	ostta01g01720,ostta01g02250,ostta01g03380,ostta01g06120,ostta02g00300,ostta02g00600,ostta02g00880,ostta02g01770,ostta02g01780,ostta02g03840,ostta03g01070,ostta03g03960,ostta03g04840,ostta04g04910,ostta06g00090,ostta07g01940,ostta07g03200,ostta09g00070,ostta10g01270,ostta10g01360,ostta10g01850,ostta10g01860,ostta11g00380,ostta14g00940,ostta14g01555,ostta18g01220	GO:0003899
path:ota03022	Basal transcription factors	ostta01g01210,ostta01g02120,ostta01g02970,ostta01g05460,ostta02g00093,ostta02g01170,ostta02g01590,ostta02g05250,ostta03g02270,ostta03g04230,ostta03g05320,ostta05g03580,ostta05g03840,ostta06g02150,ostta07g01400,ostta09g04350,ostta10g02310,ostta11g01960,ostta12g00510,ostta12g02900,ostta13g00540,ostta13g02640,ostta14g01920,ostta15g00170,ostta15g01360,ostta17g00067,ostta17g00850	GO:0001098
path:ota03030	DNA replication	ostta01g02580,ostta02g00500,ostta02g00555,ostta02g00690,ostta02g02010,ostta02g03430,ostta04g00450,ostta05g00150,ostta06g02890,ostta07g02610,ostta07g02710,ostta07g03460,ostta08g00710,ostta08g01110,ostta08g02290,ostta08g03680,ostta09g00990,ostta09g02790,ostta10g00340,ostta10g00640,ostta11g00910,ostta11g00940,ostta11g01400,ostta11g01760,ostta11g01840,ostta12g00110,ostta12g02340,ostta12g02485,ostta13g01140,ostta13g02040,ostta14g01050,ostta15g01090,ostta18g01440	GO:0006260
path:ota03040	Spliceosome	ostta01g01670,ostta01g02680,ostta01g03100,ostta01g03580,ostta01g03900,ostta01g04060,ostta01g05190,ostta02g00270,ostta02g01160,ostta02g01210,ostta02g01660,ostta02g01910,ostta02g02920,ostta02g03960,ostta02g05400,ostta03g00270,ostta03g00400,ostta03g00490,ostta03g01670,ostta03g03340,ostta03g04410,ostta04g00600,ostta04g01360,ostta04g01670,ostta04g02140,ostta04g02180,ostta04g02570,ostta04g03210,ostta04g05000,ostta05g00460,ostta05g00640,ostta05g02760,ostta05g03480,ostta05g04170,ostta06g00860,ostta06g01490,ostta06g01720,ostta06g02080,ostta06g02400,ostta06g02880,ostta06g03730,ostta07g00370,ostta07g01520,ostta07g01790,ostta07g03030,ostta07g03560,ostta08g00170,ostta08g00660,ostta08g02120,ostta08g02680,ostta08g03230,ostta08g03310,ostta08g04080,ostta09g00740,ostta09g00860,ostta09g01020,ostta09g01480,ostta09g03660,ostta09g03810,ostta09g03870,ostta10g01140,ostta10g01950,ostta10g03400,ostta11g00220,ostta11g01210,ostta11g01450,ostta11g02350,ostta12g00350,ostta12g02070,ostta12g03030,ostta13g00800,ostta13g02520,ostta14g00300,ostta14g00330,ostta14g00370,ostta14g00680,ostta14g00710,ostta14g00860,ostta14g00960,ostta14g01120,ostta14g01270,ostta14g02220,ostta14g02750,ostta14g02935,ostta15g00490,ostta15g00790,ostta16g00250,ostta16g00390,ostta16g00880,ostta16g01180,ostta16g01280,ostta16g01830,ostta16g02390,ostta17g01750,ostta17g02030,ostta17g02160,ostta17g02185,ostta20g00950	GO:0005681
path:ota03050	Proteasome	ostta01g00400,ostta01g03110,ostta01g04950,ostta01g05005,ostta01g05320,ostta02g00110,ostta02g01460,ostta02g02360,ostta02g03350,ostta02g04020,ostta03g01150,ostta03g02880,ostta03g03360,ostta03g03980,ostta05g02950,ostta06g00190,ostta06g00350,ostta06g01000,ostta06g02660,ostta06g03900,ostta06g04060,ostta07g00800,ostta08g04030,ostta09g00040,ostta09g01070,ostta09g02170,ostta09g02320,ostta10g01180,ostta10g03135,ostta11g02410,ostta12g00800,ostta14g00030,ostta14g00870,ostta15g00420,ostta15g02795,ostta16g00740,ostta16g02245	GO:0000502
path:ota03060	Protein export	ostta01g00410,ostta01g00810,ostta01g01800,ostta01g04100,ostta01g04200,ostta02g00370,ostta02g01020,ostta03g02230,ostta03g05390,ostta04g03090,ostta04g03190,ostta05g01140,ostta05g01840,ostta06g01400,ostta06g02470,ostta07g04150,ostta07g04390,ostta10g00540,ostta10g01620,ostta11g00520,ostta11g00790,ostta12g02260,ostta13g02350,ostta13g03030,ostta15g00470,ostta15g02020	GO:0006611
path:ota03250	Viral life cycle	ostta01g00730,ostta02g01260,ostta02g03490,ostta03g00300,ostta04g03460,ostta05g03300,ostta06g03350,ostta07g01620,ostta08g01940,ostta10g00020,ostta10g00630,ostta12g01050,ostta13g01170,ostta14g00410,ostta17g00070,ostta17g02070	GO:0019058
path:ota03410	Base excision repair	ostta02g00500,ostta02g00555,ostta02g03430,ostta05g00150,ostta06g02740,ostta06g02890,ostta07g02610,ostta07g03460,ostta08g02290,ostta08g03680,ostta09g00180,ostta09g00990,ostta09g02790,ostta09g04280,ostta10g00640,ostta11g00400,ostta11g01840,ostta12g00110,ostta12g00655,ostta12g01670,ostta12g02485,ostta14g00980,ostta14g02950,ostta15g02880,ostta16g02045,ostta18g00830	GO:0006284
path:ota03420	Nucleotide excision repair	ostta01g01720,ostta01g02120,ostta02g00300,ostta02g00480,ostta02g00500,ostta02g00555,ostta02g00880,ostta02g01170,ostta02g01770,ostta02g01780,ostta02g03430,ostta02g03670,ostta03g02270,ostta03g04230,ostta04g00470,ostta04g04910,ostta05g00150,ostta06g02150,ostta06g02890,ostta07g01400,ostta07g01940,ostta07g02610,ostta07g02710,ostta07g03460,ostta08g01210,ostta08g03680,ostta09g00070,ostta09g00990,ostta09g02790,ostta10g00640,ostta10g01270,ostta10g01360,ostta10g01850,ostta10g01860,ostta10g01910,ostta10g03360,ostta11g00380,ostta11g01320,ostta11g01840,ostta11g01960,ostta12g00110,ostta12g02485,ostta12g02900,ostta13g01140,ostta14g02480,ostta15g01090,ostta15g01360,ostta17g00850,ostta18g00180,ostta18g01440	GO:0006289
path:ota03430	Mismatch repair	ostta01g04740,ostta02g00500,ostta02g00555,ostta02g03430,ostta04g02050,ostta05g00150,ostta06g02640,ostta06g02890,ostta06g03990,ostta07g02610,ostta07g02710,ostta09g00990,ostta10g00640,ostta10g02100,ostta10g02820,ostta12g00110,ostta12g02485,ostta13g01140,ostta13g02280,ostta15g01090,ostta16g01750,ostta18g01440	GO:0006298
path:ota03440	Homologous recombination	ostta02g03430,ostta03g01680,ostta03g04030,ostta03g05010,ostta03g05810,ostta04g00700,ostta04g01710,ostta05g00310,ostta06g01000,ostta06g03325,ostta07g00020,ostta07g02540,ostta07g02610,ostta07g02710,ostta08g00240,ostta08g01800,ostta08g03990,ostta09g02790,ostta09g03530,ostta09g03555,ostta11g00630,ostta12g00110,ostta12g01520,ostta12g01965,ostta12g02080,ostta13g01140,ostta15g01090,ostta18g01440	GO:0035825
path:ota03450	Non-homologous end-joining	ostta07g00020,ostta07g04750,ostta08g02290,ostta08g03530,ostta09g04280,ostta11g01600,ostta12g01960	GO:0006303
path:ota04016	MAPK signaling pathway	ostta01g02850,ostta01g03910,ostta03g01180,ostta05g03740,ostta07g03530,ostta08g02660,ostta09g04050,ostta11g02300,ostta11g02505,ostta11g03110,ostta12g01250,ostta15g00150,ostta18g00720	GO:0000165
path:ota04070	Phosphatidylinositol signaling system	ostta01g00250,ostta01g03910,ostta01g04370,ostta02g05350,ostta03g01890,ostta03g03030,ostta04g02150,ostta04g02240,ostta04g03470,ostta05g02610,ostta05g04730,ostta07g00880,ostta07g02360,ostta07g04120,ostta08g01290,ostta12g01880,ostta15g02070,ostta16g01500,ostta18g00560,ostta18g00720,ostta20g00320	GO:0048015
path:ota04075	Plant hormone signal transduction	ostta01g02850,ostta03g01180,ostta08g04240,ostta09g04050,ostta12g01250	GO:0009738
path:ota04120	Ubiquitin mediated proteolysis	ostta01g01000,ostta01g02690,ostta01g06380,ostta02g00480,ostta02g03470,ostta03g00480,ostta03g01670,ostta03g02490,ostta03g02790,ostta03g05020,ostta04g00470,ostta04g02540,ostta04g03260,ostta04g04580,ostta04g04730,ostta05g01850,ostta05g02510,ostta05g02620,ostta05g04930,ostta06g00360,ostta06g01230,ostta06g01260,ostta06g02030,ostta06g02700,ostta06g04290,ostta07g00130,ostta07g00160,ostta07g00910,ostta07g02520,ostta07g04620,ostta08g01750,ostta09g00430,ostta09g00510,ostta09g01840,ostta10g01720,ostta10g02910,ostta10g03360,ostta11g00730,ostta11g01320,ostta11g03040,ostta12g01060,ostta12g01170,ostta12g01180,ostta12g01990,ostta13g02370,ostta13g02630,ostta14g00590,ostta14g00660,ostta14g02945,ostta15g01740,ostta17g01730,ostta20g00580,ostta20g00890	GO:0016567
path:ota04122	Sulfur relay system	ostta01g05760,ostta02g05520,ostta03g02300,ostta09g03630,ostta10g00990,ostta15g00090,ostta17g00200	NA
path:ota04130	SNARE interactions in vesicular transport	ostta02g04320,ostta04g02160,ostta05g03610,ostta05g03640,ostta05g04500,ostta06g00030,ostta06g03310,ostta07g02850,ostta09g02270,ostta09g04100,ostta10g00070,ostta10g03310,ostta11g02920,ostta14g02870,ostta15g02030,ostta17g00065	GO:0035493
path:ota04136	Autophagy	ostta01g05240,ostta01g05650,ostta03g01890,ostta03g04140,ostta03g05060,ostta04g00060,ostta04g02790,ostta04g04650,ostta05g02700,ostta06g00610,ostta06g00680,ostta06g00980,ostta06g01620,ostta06g01955,ostta06g02615,ostta06g03240,ostta06g03810,ostta07g01800,ostta12g01490,ostta15g01130	GO:0006914
path:ota04141	Protein processing in endoplasmic reticulum	ostta01g00190,ostta01g01085,ostta01g01530,ostta01g02690,ostta01g03760,ostta01g04200,ostta01g05710,ostta02g00480,ostta02g01020,ostta02g01390,ostta02g01910,ostta02g02110,ostta03g03460,ostta03g05390,ostta03g05960,ostta04g03230,ostta04g04730,ostta05g00280,ostta05g01290,ostta05g02650,ostta05g02820,ostta05g04400,ostta06g00860,ostta06g01210,ostta06g02030,ostta06g02250,ostta06g02470,ostta06g04320,ostta07g00160,ostta08g02080,ostta08g02820,ostta08g03320,ostta08g03500,ostta09g00730,ostta09g00750,ostta09g01495,ostta09g02145,ostta09g02670,ostta09g03840,ostta09g03870,ostta10g01280,ostta10g01720,ostta10g01910,ostta10g02940,ostta11g02460,ostta11g03250,ostta12g00850,ostta12g02440,ostta12g02980,ostta13g02610,ostta14g00590,ostta14g00660,ostta14g02020,ostta14g02400,ostta15g00310,ostta15g00470,ostta15g00980,ostta15g01940,ostta15g02020,ostta16g01040,ostta16g01990,ostta16g02710,ostta17g00050,ostta17g00800,ostta17g01730,ostta17g02030,ostta18g00580,ostta18g01945,ostta20g00580	GO:0006457
path:ota04144	Endocytosis	ostta01g01140,ostta01g01830,ostta01g02270,ostta01g04450,ostta01g05430,ostta01g05880,ostta02g01490,ostta02g01910,ostta02g05350,ostta03g00290,ostta03g00300,ostta03g03580,ostta03g04200,ostta04g00630,ostta04g00740,ostta04g01810,ostta04g02520,ostta04g04260,ostta05g00080,ostta05g00670,ostta05g02280,ostta05g02830,ostta06g00860,ostta06g01010,ostta07g03330,ostta07g04120,ostta08g00640,ostta08g02570,ostta09g03710,ostta09g03870,ostta09g04180,ostta10g00630,ostta10g01110,ostta12g01050,ostta12g02000,ostta12g02770,ostta13g01590,ostta13g02600,ostta13g02790,ostta14g00450,ostta14g02050,ostta14g02130,ostta14g02830,ostta14g02920,ostta15g01860,ostta16g00545,ostta16g02230,ostta17g01370,ostta17g02030,ostta17g02070,ostta18g00560,ostta18g00600,ostta20g00630	GO:0006897
path:ota04145	Phagosome	ostta01g02210,ostta01g02700,ostta01g04200,ostta01g04320,ostta02g01600,ostta02g02400,ostta03g01890,ostta03g02970,ostta03g03460,ostta04g01810,ostta04g02750,ostta05g03960,ostta06g02990,ostta07g01975,ostta07g02690,ostta07g04140,ostta08g02570,ostta08g03710,ostta08g04040,ostta09g01530,ostta09g02270,ostta10g00830,ostta10g03010,ostta11g02740,ostta12g01320,ostta14g02870,ostta15g00470,ostta15g02020	GO:0045335
path:ota04146	Peroxisome	ostta01g02650,ostta01g05250,ostta01g05750,ostta02g00360,ostta02g04070,ostta02g04710,ostta02g04910,ostta04g01400,ostta05g00250,ostta05g02540,ostta06g00570,ostta06g04450,ostta07g01450,ostta07g02020,ostta07g03630,ostta09g02365,ostta10g01430,ostta10g03380,ostta11g00550,ostta11g01110,ostta12g01000,ostta12g02310,ostta13g01190,ostta13g02990,ostta14g00800,ostta14g02340,ostta18g01090,ostta20g00440	GO:0005777
path:ota04712	Circadian rhythm	ostta01g03880,ostta02g01350,ostta12g02550	GO:0007623
path:ota04814	Motor proteins	ostta01g00560,ostta01g02210,ostta01g04320,ostta02g01520,ostta04g00460,ostta04g03110,ostta04g04480,ostta06g03320,ostta06g04460,ostta08g00900,ostta08g01900,ostta08g03710,ostta08g03970,ostta10g00680,ostta10g02410,ostta12g01320,ostta14g00070,ostta16g00430,ostta18g01040	GO:0003774
